date,carrier,manufacturer,device_nm,product_group_nm,storage,dealer,join_type,support_type,rate_plan,rate_plan_month_fee,retail_price,total_support_fee,dealer_subsidy,origin_installment_principal,origin_month_device_price,origin_month_price,month_rate_plan_price,installment_principal,month_device_price,month_price,margin,margin_amount
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,선약,스페셜,100000.0,1496000.0,0.0,280000.0,1216000.0,50667.0,94229.0,43562,1702400.0,70933.0,114495.0,0.4,486400.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,선약,티빙/지니/밀리 초이스 베이직,90000.0,1496000.0,0.0,280000.0,1216000.0,50667.0,92893.0,42226,1702400.0,70933.0,113159.0,0.4,486400.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,선약,5G 심플 30GB,61000.0,1496000.0,0.0,180000.0,1316000.0,54833.0,93186.0,38353,1842400.0,76767.0,115120.0,0.4,526400.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,선약,5G 슬림 4GB,37000.0,1496000.0,0.0,90000.0,1406000.0,58583.0,70984.0,12401,1968400.0,82017.0,94418.0,0.4,562400.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 스페셜,110000.0,1155000.0,500000.0,440000.0,215000.0,8958.0,73668.0,64710,615000.0,25625.0,90335.0,1.8604651162790697,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,공시,스페셜,100000.0,1155000.0,500000.0,390000.0,265000.0,11042.0,73176.0,62134,665000.0,27708.0,89842.0,1.509433962264151,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 베이직,90000.0,1155000.0,500000.0,390000.0,265000.0,11042.0,70601.0,59559,665000.0,27708.0,87267.0,1.509433962264151,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,공시,5G 심플 30GB,61000.0,1155000.0,332000.0,230000.0,593000.0,24708.0,76798.0,52090,993275.0,41386.0,93476.0,0.675,400275.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,공시,5G 슬림 4GB,37000.0,1155000.0,210000.0,140000.0,805000.0,33542.0,52055.0,18513,1205085.0,50212.0,68725.0,0.497,400085.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 스페셜,110000.0,1155000.0,0.0,440000.0,715000.0,29792.0,74689.0,44897,1115000.0,46458.0,91355.0,0.5594405594405595,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,선약,스페셜,100000.0,1155000.0,0.0,390000.0,765000.0,31875.0,75437.0,43562,1165095.0,48546.0,92108.0,0.523,400095.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 베이직,90000.0,1155000.0,0.0,390000.0,765000.0,31875.0,74101.0,42226,1165095.0,48546.0,90772.0,0.523,400095.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,선약,5G 심플 30GB,61000.0,1155000.0,0.0,230000.0,925000.0,38542.0,76895.0,38353,1325000.0,55208.0,93561.0,0.43243243243243246,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,번호이동,선약,5G 슬림 4GB,37000.0,1155000.0,0.0,140000.0,1015000.0,42292.0,54693.0,12401,1421000.0,59208.0,71609.0,0.4,406000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,공시,티빙/지니/밀리 초이스 스페셜,110000.0,1155000.0,500000.0,280000.0,375000.0,15625.0,80335.0,64710,775125.0,32297.0,97007.0,1.067,400125.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,공시,스페셜,100000.0,1155000.0,500000.0,280000.0,375000.0,15625.0,77759.0,62134,775125.0,32297.0,94431.0,1.067,400125.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,공시,티빙/지니/밀리 초이스 베이직,90000.0,1155000.0,500000.0,280000.0,375000.0,15625.0,75184.0,59559,775125.0,32297.0,91856.0,1.067,400125.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,공시,5G 심플 30GB,61000.0,1155000.0,332000.0,180000.0,643000.0,26792.0,78882.0,52090,1043000.0,43458.0,95548.0,0.6220839813374806,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,공시,5G 슬림 4GB,37000.0,1155000.0,210000.0,90000.0,855000.0,35625.0,54138.0,18513,1255140.0,52298.0,70810.0,0.468,400140.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,선약,티빙/지니/밀리 초이스 스페셜,110000.0,1155000.0,0.0,280000.0,875000.0,36458.0,81355.0,44897,1275000.0,53125.0,98022.0,0.45714285714285713,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,선약,스페셜,100000.0,1155000.0,0.0,280000.0,875000.0,36458.0,80020.0,43562,1275000.0,53125.0,96687.0,0.45714285714285713,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,선약,티빙/지니/밀리 초이스 베이직,90000.0,1155000.0,0.0,280000.0,875000.0,36458.0,78684.0,42226,1275000.0,53125.0,95351.0,0.45714285714285713,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,선약,5G 심플 30GB,61000.0,1155000.0,0.0,180000.0,975000.0,40625.0,78978.0,38353,1375000.0,57292.0,95645.0,0.41025641025641024,400000.0
2025. 7. 14,KT,삼성,SM-S931,갤럭시 S25,256GB,맥스,기기변경,선약,5G 슬림 4GB,37000.0,1155000.0,0.0,90000.0,1065000.0,44375.0,56776.0,12401,1491000.0,62125.0,74526.0,0.4,426000.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 스페셜,110000.0,1353000.0,201000.0,440000.0,712000.0,29667.0,94377.0,64710,1112144.0,46339.0,111049.0,0.562,400144.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,공시,스페셜,100000.0,1353000.0,183000.0,390000.0,780000.0,32500.0,94634.0,62134,1180140.0,49172.0,111306.0,0.513,400140.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 베이직,90000.0,1353000.0,150000.0,390000.0,813000.0,33875.0,93434.0,59559,1213000.0,50542.0,110101.0,0.4920049200492005,400000.0
